skin_tone,eye_color,hair_color,primary_season,color_palette
light,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'orange', 'white']"
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'peach', 'grey', 'jewel blue']"
light,blue,brown,Summer,"['grey', 'soft green', 'peach', 'olive green', 'black']"
fairLight,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'deep red', 'jewel blue']"
light,blue,blonde,Spring,"['warm green', 'coral', 'lavender', 'orange', 'navy']"
light,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'mustard', 'black']"
fair,green,brown,Summer,"['lavender', 'soft green', 'warm green', 'olive green', 'black']"
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'navy']"
fair,blue,blonde,Spring,"['coral', 'peach', 'soft pink', 'warm brown', 'white']"
lightMedium,hazel,blonde,Spring,"['coral', 'warm green', 'pastel blue', 'orange', 'white']"
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'pastel blue', 'bright red']"
lightMedium,hazel,brown,Autumn,"['olive green', 'warm brown', 'peach', 'lavender', 'bright red']"
light,brown,black,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'jewel blue']"
fair,blue,brown,Summer,"['soft green', 'grey', 'warm green', 'olive green', 'navy']"
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'lavender', 'warm brown', 'navy']"
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'coral', 'lavender', 'black']"
light,brown,brunette,Summer,"['pastel blue', 'soft pink', 'coral', 'deep red', 'navy']"
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'olive green', 'navy']"
fair,brown,blonde,Summer,"['pastel blue', 'soft green', 'peach', 'deep red', 'jewel blue']"
fair,brown,black,Summer,"['soft green', 'lavender', 'golden yellow', 'olive green', 'navy']"
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'lavender', 'white']"
fairLight,brown,Other,Summer,"['soft green', 'grey', 'peach', 'olive green', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'orange', 'bright red']"
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'soft pink', 'warm brown', 'white']"
light,brown,black,Summer,"['lavender', 'pastel blue', 'peach', 'olive green', 'jewel blue']"
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'deep red', 'white']"
fair,brown,auburn,Summer,"['lavender', 'soft pink', 'peach', 'olive green', 'navy']"
fairLight,blue,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'mustard', 'black']"
mediumTan,hazel,brown,Autumn,"['orange', 'warm brown', 'peach', 'grey', 'white']"
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'olive green', 'bright red']"
tan,brown,brunette,Autumn,"['orange', 'mustard', 'peach', 'pastel blue', 'white']"
medium,brown,brunette,Autumn,"['warm brown', 'olive green', 'warm green', 'grey', 'bright red']"
fair,hazel,black,Summer,"['grey', 'lavender', 'coral', 'deep red', 'bright red']"
Other,brown,black,Winter,"['white', 'bright red', 'peach', 'lavender', 'olive green']"
fair,brown,black,Summer,"['soft pink', 'soft green', 'peach', 'olive green', 'white']"
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'navy']"
tan,brown,black,Spring,"['golden yellow', 'peach', 'soft pink', 'warm brown', 'bright red']"
light,hazel,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'mustard', 'bright red']"
light,Other,black,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']"
light,brown,auburn,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'warm brown', 'black']"
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'warm brown', 'jewel blue']"
medium,brown,black,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'bright red']"
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'mustard', 'bright red']"
medium,brown,black,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'bright red']"
lightMedium,brown,black,Spring,"['peach', 'coral', 'pastel blue', 'mustard', 'black']"
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'grey', 'navy']"
light,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'olive green', 'white']"
fair,brown,red,Summer,"['soft green', 'pastel blue', 'coral', 'deep red', 'black']"
lightMedium,brown,blonde,Spring,"['warm green', 'coral', 'soft green', 'mustard', 'white']"
medium,brown,black,Spring,"['coral', 'peach', 'grey', 'mustard', 'bright red']"
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'clear turquoise', 'lavender', 'black']"
fairLight,blue,brown,Summer,"['pastel blue', 'lavender', 'peach', 'warm brown', 'white']"
mediumTan,brown,brown,Autumn,"['deep red', 'warm brown', 'golden yellow', 'lavender', 'bright red']"
Other,brown,brunette,Winter,"['bright red', 'white', 'clear turquoise', 'soft green', 'olive green']"
light,hazel,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'orange', 'jewel blue']"
fair,Other,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'deep red', 'jewel blue']"
tan,brown,brunette,Autumn,"['deep red', 'orange', 'peach', 'grey', 'black']"
fair,blue,blonde,Spring,"['coral', 'warm green', 'grey', 'mustard', 'white']"
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'bright red']"
mediumTan,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'navy']"
fairLight,Other,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'warm brown', 'black']"
fair,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'deep red', 'white']"
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'lavender', 'deep red', 'black']"
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'coral', 'soft pink', 'black']"
medium,brown,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'grey', 'bright red']"
light,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'deep red', 'black']"
light,green,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'warm brown', 'bright red']"
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'soft green', 'black']"
fairLight,Other,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'deep red', 'jewel blue']"
fairLight,blue,red,Spring,"['coral', 'golden yellow', 'lavender', 'olive green', 'jewel blue']"
lightMedium,brown,auburn,Autumn,"['mustard', 'orange', 'peach', 'pastel blue', 'bright red']"
light,blue,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'mustard', 'navy']"
lightMedium,brown,black,Spring,"['peach', 'coral', 'grey', 'mustard', 'navy']"
light,green,brown,Summer,"['lavender', 'grey', 'coral', 'mustard', 'jewel blue']"
lightMedium,brown,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'white']"
fairLight,green,auburn,Spring,"['coral', 'golden yellow', 'soft green', 'mustard', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'coral', 'grey', 'jewel blue']"
fairLight,brown,blonde,Summer,"['soft pink', 'soft green', 'coral', 'olive green', 'bright red']"
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']"
tan,brown,black,Spring,"['warm green', 'golden yellow', 'soft pink', 'warm brown', 'navy']"
mediumTan,green,black,Spring,"['peach', 'warm green', 'soft green', 'orange', 'black']"
light,green,brown,Summer,"['grey', 'pastel blue', 'golden yellow', 'orange', 'black']"
fairLight,brown,brown,Summer,"['lavender', 'soft green', 'peach', 'warm brown', 'jewel blue']"
fair,brown,blonde,Summer,"['grey', 'lavender', 'peach', 'deep red', 'jewel blue']"
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'white']"
medium,brown,black,Spring,"['warm green', 'golden yellow', 'grey', 'mustard', 'jewel blue']"
light,blue,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'warm brown', 'black']"
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'deep red', 'jewel blue']"
light,brown,black,Summer,"['pastel blue', 'grey', 'clear turquoise', 'orange', 'navy']"
medium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'white']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'mustard', 'navy']"
light,brown,brown,Summer,"['soft green', 'lavender', 'peach', 'orange', 'bright red']"
lightMedium,hazel,brown,Autumn,"['orange', 'deep red', 'warm green', 'grey', 'bright red']"
deep,brown,black,Winter,"['bright red', 'jewel blue', 'peach', 'soft pink', 'mustard']"
fair,brown,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'mustard', 'white']"
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'mustard', 'white']"
light,hazel,brown,Summer,"['lavender', 'soft green', 'coral', 'warm brown', 'white']"
Other,green,brunette,Spring,"['coral', 'peach', 'soft pink', 'deep red', 'jewel blue']"
light,brown,auburn,Summer,"['lavender', 'soft pink', 'coral', 'orange', 'black']"
light,blue,brown,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']"
fairLight,brown,red,Summer,"['soft green', 'pastel blue', 'warm green', 'orange', 'black']"
mediumTan,brown,black,Spring,"['coral', 'warm green', 'grey', 'mustard', 'bright red']"
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'soft green', 'black']"
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'orange', 'navy']"
fairLight,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'black']"
fair,brown,black,Summer,"['soft pink', 'lavender', 'golden yellow', 'orange', 'bright red']"
Other,brown,brunette,Winter,"['jewel blue', 'bright red', 'coral', 'soft green', 'deep red']"
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'pastel blue', 'bright red']"
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'peach', 'orange', 'black']"
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'orange', 'bright red']"
mediumTan,blue,brown,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'bright red']"
mediumTan,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'pastel blue', 'navy']"
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'deep red', 'navy']"
fairLight,blue,red,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'jewel blue']"
tan,brown,black,Spring,"['peach', 'warm green', 'pastel blue', 'mustard', 'navy']"
light,brown,Other,Summer,"['soft pink', 'soft green', 'clear turquoise', 'deep red', 'black']"
light,blue,brown,Summer,"['pastel blue', 'soft pink', 'golden yellow', 'deep red', 'navy']"
lightMedium,hazel,brown,Autumn,"['deep red', 'olive green', 'coral', 'lavender', 'navy']"
fairLight,Other,blonde,Summer,"['soft pink', 'grey', 'coral', 'orange', 'jewel blue']"
light,green,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'mustard', 'bright red']"
fair,brown,brown,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'bright red']"
light,hazel,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'olive green', 'black']"
fairLight,green,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'mustard', 'black']"
