skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name,noisy_color_palette,noisy_palette_name
light,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'orange', 'white']",Palette_c196d413,"['muted lavender', 'dark soft green', 'dark warm green', 'orange', 'light white']",Palette_3f8e4161
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'peach', 'grey', 'jewel blue']",Palette_99f7cd15,"['muted orange', 'olive green', 'bright peach', 'muted grey', 'muted jewel blue']",Palette_24b0d29b
light,blue,brown,Summer,"['grey', 'soft green', 'peach', 'olive green', 'black']",Palette_2bc1b713,"['bright grey', 'light soft green', 'dark peach', 'bright olive green', 'light black']",Palette_efc3b629
fairLight,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'deep red', 'jewel blue']",Palette_5c43f8f1,"['bright soft pink', 'bright pastel blue', 'muted clear turquoise', 'dark deep red', 'light jewel blue']",Palette_bc7650b6
light,blue,blonde,Spring,"['warm green', 'coral', 'lavender', 'orange', 'navy']",Palette_a5e5c593,"['muted warm green', 'dark coral', 'light lavender', 'bright orange', 'muted navy']",Palette_1296fb01
light,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'mustard', 'black']",Palette_1f3e058d,"['muted grey', 'pastel blue', 'bright peach', 'light mustard', 'light black']",Palette_8b68dd9a
fair,green,brown,Summer,"['lavender', 'soft green', 'warm green', 'olive green', 'black']",Palette_9e77b3fe,"['dark lavender', 'bright soft green', 'muted warm green', 'light olive green', 'light black']",Palette_830e8fee
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'navy']",Palette_334e9866,"['bright clear turquoise', 'dark coral', 'bright pastel blue', 'dark warm brown', 'navy']",Palette_471671f8
fair,blue,blonde,Spring,"['coral', 'peach', 'soft pink', 'warm brown', 'white']",Palette_8c0f838a,"['bright coral', 'muted peach', 'dark soft pink', 'muted warm brown', 'dark white']",Palette_1c62627b
lightMedium,hazel,blonde,Spring,"['coral', 'warm green', 'pastel blue', 'orange', 'white']",Palette_0b657a51,"['light coral', 'bright warm green', 'dark pastel blue', 'bright orange', 'muted white']",Palette_dc310770
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'pastel blue', 'bright red']",Palette_eb0eb0ac,"['muted warm brown', 'olive green', 'muted clear turquoise', 'bright pastel blue', 'bright red']",Palette_10941434
lightMedium,hazel,brown,Autumn,"['olive green', 'warm brown', 'peach', 'lavender', 'bright red']",Palette_71641f59,"['light olive green', 'warm brown', 'light peach', 'light lavender', 'muted bright red']",Palette_d43008f9
light,brown,black,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'jewel blue']",Palette_db8eff45,"['light soft green', 'muted soft pink', 'warm green', 'olive green', 'light jewel blue']",Palette_e6795db9
fair,blue,brown,Summer,"['soft green', 'grey', 'warm green', 'olive green', 'navy']",Palette_9d3e3a24,"['bright soft green', 'light grey', 'warm green', 'dark olive green', 'navy']",Palette_c1f48327
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'lavender', 'warm brown', 'navy']",Palette_d75c3a2c,"['coral', 'bright clear turquoise', 'muted lavender', 'muted warm brown', 'light navy']",Palette_91ca67bc
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'coral', 'lavender', 'black']",Palette_fd919145,"['light olive green', 'muted orange', 'light coral', 'muted lavender', 'light black']",Palette_47b9dedc
light,brown,brunette,Summer,"['pastel blue', 'soft pink', 'coral', 'deep red', 'navy']",Palette_570124e6,"['bright pastel blue', 'bright soft pink', 'muted coral', 'dark deep red', 'muted navy']",Palette_12900023
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'olive green', 'navy']",Palette_d4b92064,"['bright warm green', 'bright clear turquoise', 'dark soft pink', 'olive green', 'muted navy']",Palette_e2aa6940
fair,brown,blonde,Summer,"['pastel blue', 'soft green', 'peach', 'deep red', 'jewel blue']",Palette_b6678ade,"['pastel blue', 'bright soft green', 'dark peach', 'bright deep red', 'muted jewel blue']",Palette_a80960a1
fair,brown,black,Summer,"['soft green', 'lavender', 'golden yellow', 'olive green', 'navy']",Palette_378e8f2a,"['light soft green', 'muted lavender', 'dark golden yellow', 'bright olive green', 'dark navy']",Palette_b0bf238c
