skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name
light,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'orange', 'white']",Palette_c196d413
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'peach', 'grey', 'jewel blue']",Palette_99f7cd15
light,blue,brown,Summer,"['grey', 'soft green', 'peach', 'olive green', 'black']",Palette_2bc1b713
fairLight,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'deep red', 'jewel blue']",Palette_5c43f8f1
light,blue,blonde,Spring,"['warm green', 'coral', 'lavender', 'orange', 'navy']",Palette_a5e5c593
light,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'mustard', 'black']",Palette_1f3e058d
fair,green,brown,Summer,"['lavender', 'soft green', 'warm green', 'olive green', 'black']",Palette_9e77b3fe
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'navy']",Palette_334e9866
fair,blue,blonde,Spring,"['coral', 'peach', 'soft pink', 'warm brown', 'white']",Palette_8c0f838a
lightMedium,hazel,blonde,Spring,"['coral', 'warm green', 'pastel blue', 'orange', 'white']",Palette_0b657a51
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'pastel blue', 'bright red']",Palette_eb0eb0ac
lightMedium,hazel,brown,Autumn,"['olive green', 'warm brown', 'peach', 'lavender', 'bright red']",Palette_71641f59
light,brown,black,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'jewel blue']",Palette_db8eff45
fair,blue,brown,Summer,"['soft green', 'grey', 'warm green', 'olive green', 'navy']",Palette_9d3e3a24
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'lavender', 'warm brown', 'navy']",Palette_d75c3a2c
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'coral', 'lavender', 'black']",Palette_fd919145
light,brown,brunette,Summer,"['pastel blue', 'soft pink', 'coral', 'deep red', 'navy']",Palette_570124e6
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'olive green', 'navy']",Palette_d4b92064
fair,brown,blonde,Summer,"['pastel blue', 'soft green', 'peach', 'deep red', 'jewel blue']",Palette_b6678ade
fair,brown,black,Summer,"['soft green', 'lavender', 'golden yellow', 'olive green', 'navy']",Palette_378e8f2a
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'lavender', 'white']",Palette_1cd298a0
fairLight,brown,Other,Summer,"['soft green', 'grey', 'peach', 'olive green', 'white']",Palette_8c2ee422
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'orange', 'bright red']",Palette_c6dcc210
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'soft pink', 'warm brown', 'white']",Palette_05fc57f1
light,brown,black,Summer,"['lavender', 'pastel blue', 'peach', 'olive green', 'jewel blue']",Palette_60793c7f
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'deep red', 'white']",Palette_4210d9f3
fair,brown,auburn,Summer,"['lavender', 'soft pink', 'peach', 'olive green', 'navy']",Palette_e3d8ac17
fairLight,blue,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'mustard', 'black']",Palette_0cc8047e
mediumTan,hazel,brown,Autumn,"['orange', 'warm brown', 'peach', 'grey', 'white']",Palette_d684a6f3
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'olive green', 'bright red']",Palette_3c40d0b3
tan,brown,brunette,Autumn,"['orange', 'mustard', 'peach', 'pastel blue', 'white']",Palette_4f4479dc
medium,brown,brunette,Autumn,"['warm brown', 'olive green', 'warm green', 'grey', 'bright red']",Palette_be0eaa71
fair,hazel,black,Summer,"['grey', 'lavender', 'coral', 'deep red', 'bright red']",Palette_16af89c1
Other,brown,black,Winter,"['white', 'bright red', 'peach', 'lavender', 'olive green']",Palette_57f06716
fair,brown,black,Summer,"['soft pink', 'soft green', 'peach', 'olive green', 'white']",Palette_37e46a15
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'navy']",Palette_38002247
tan,brown,black,Spring,"['golden yellow', 'peach', 'soft pink', 'warm brown', 'bright red']",Palette_b2b1cd29
light,hazel,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'mustard', 'bright red']",Palette_17916090
light,Other,black,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']",Palette_eb1c46cb
light,brown,auburn,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'warm brown', 'black']",Palette_96707b46
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'warm brown', 'jewel blue']",Palette_e4b5824c
medium,brown,black,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'bright red']",Palette_c32ba891
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'mustard', 'bright red']",Palette_25035667
medium,brown,black,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'bright red']",Palette_ab5ef959
lightMedium,brown,black,Spring,"['peach', 'coral', 'pastel blue', 'mustard', 'black']",Palette_47507575
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'grey', 'navy']",Palette_f9844b00
light,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'olive green', 'white']",Palette_800f8dcb
fair,brown,red,Summer,"['soft green', 'pastel blue', 'coral', 'deep red', 'black']",Palette_6978f3ed
lightMedium,brown,blonde,Spring,"['warm green', 'coral', 'soft green', 'mustard', 'white']",Palette_cc02a5ac
medium,brown,black,Spring,"['coral', 'peach', 'grey', 'mustard', 'bright red']",Palette_ce580df6
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'clear turquoise', 'lavender', 'black']",Palette_d5109476
fairLight,blue,brown,Summer,"['pastel blue', 'lavender', 'peach', 'warm brown', 'white']",Palette_bf1bfe03
mediumTan,brown,brown,Autumn,"['deep red', 'warm brown', 'golden yellow', 'lavender', 'bright red']",Palette_dd090bcf
Other,brown,brunette,Winter,"['bright red', 'white', 'clear turquoise', 'soft green', 'olive green']",Palette_bac4daeb
light,hazel,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'orange', 'jewel blue']",Palette_f7c6f274
fair,Other,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'deep red', 'jewel blue']",Palette_cc237c58
tan,brown,brunette,Autumn,"['deep red', 'orange', 'peach', 'grey', 'black']",Palette_cfe08430
fair,blue,blonde,Spring,"['coral', 'warm green', 'grey', 'mustard', 'white']",Palette_a27979af
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'bright red']",Palette_2c576c32
mediumTan,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'navy']",Palette_7e095127
fairLight,Other,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'warm brown', 'black']",Palette_fe149aea
fair,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'deep red', 'white']",Palette_4d736055
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'lavender', 'deep red', 'black']",Palette_48d8ce86
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'coral', 'soft pink', 'black']",Palette_4ca7ca61
medium,brown,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'grey', 'bright red']",Palette_f9496f65
light,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'deep red', 'black']",Palette_01f21978
light,green,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'warm brown', 'bright red']",Palette_3d010139
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'soft green', 'black']",Palette_ef44e01e
fairLight,Other,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'deep red', 'jewel blue']",Palette_13817adf
fairLight,blue,red,Spring,"['coral', 'golden yellow', 'lavender', 'olive green', 'jewel blue']",Palette_86fee22c
lightMedium,brown,auburn,Autumn,"['mustard', 'orange', 'peach', 'pastel blue', 'bright red']",Palette_bd2ee07a
light,blue,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'mustard', 'navy']",Palette_ac8a310a
lightMedium,brown,black,Spring,"['peach', 'coral', 'grey', 'mustard', 'navy']",Palette_ff3c75bf
light,green,brown,Summer,"['lavender', 'grey', 'coral', 'mustard', 'jewel blue']",Palette_fc3facea
lightMedium,brown,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'white']",Palette_08852f23
fairLight,green,auburn,Spring,"['coral', 'golden yellow', 'soft green', 'mustard', 'jewel blue']",Palette_9f4dd62a
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'coral', 'grey', 'jewel blue']",Palette_f0206777
fairLight,brown,blonde,Summer,"['soft pink', 'soft green', 'coral', 'olive green', 'bright red']",Palette_3be69816
